"precio","metros_cuadrados_construidos","habitaciones","banos","planta","latitud","longitud","ascensor","obra_nueva","piscina","terraza","parking","parking_incluido_en_el_precio","aire_acondicionado","trastero","jardin","planta_was_nan"
2350,100,1,2,2,40.4357532,-3.6782965,1,0,0,1,0,0,1,0,0,0
2400,85,1,2,2,40.4256494,-3.6747219,1,0,0,0,0,0,1,0,0,0
2400,90,1,2,5,40.4222134,-3.7010561,1,0,0,1,0,0,0,1,0,0
2475,75,1,2,7,40.4358283,-3.6819431,1,0,0,0,0,0,1,0,0,0
2500,82,1,2,0,40.4324443,-3.7163997,1,0,1,0,0,0,1,1,0,1
2500,102,1,2,11,40.4543517,-3.6940236,1,0,0,1,0,0,1,0,0,0
2500,100,1,2,0,40.4078414,-3.8003125,1,0,1,1,1,1,1,1,0,1
2500,101,1,2,5,40.4453485,-3.6749675,1,0,0,1,1,1,1,1,0,0
2500,65,1,2,0,40.4282458,-3.7033402,1,0,0,1,0,0,1,0,0,1
2500,100,1,2,1,40.4062857,-3.8008773,1,0,1,1,1,1,1,1,1,0
2500,90,1,2,0,40.424465,-3.6937489,1,0,0,0,0,0,1,0,0,1
2500,82,1,2,0,40.4095965,-3.6979482,1,0,0,1,0,0,1,0,0,0
2500,121,1,2,5,40.4239811,-3.7011335,1,0,0,0,0,0,1,1,0,0
2500,82,1,2,0,40.4307414,-3.7149537,1,0,1,0,0,0,1,1,0,0
2600,85,1,2,4,40.4268649,-3.7002755,1,0,0,0,0,0,1,0,0,0
2700,70,1,2,0,40.4245273,-3.6832253,1,0,0,0,0,0,1,0,0,0
2700,165,1,3,4,40.4534038,-3.6638163,1,0,1,1,1,1,1,0,0,0
2750,131,1,2,5,40.4321077,-3.6929628,1,0,0,0,1,1,1,1,0,0
2800,60,1,2,5,40.4240359,-3.6712873,1,0,0,0,0,0,1,1,0,0
2900,81,1,2,0,40.4135763,-3.6916517,1,0,0,0,0,0,1,0,0,0
2900,105,1,2,3,40.4232491,-3.6962106,1,0,0,0,0,0,1,0,0,0
2900,140,1,3,1,40.4171449,-3.6878712,1,0,0,0,0,0,1,0,0,0
2950,75,1,2,5,40.4436668,-3.6830507,1,0,1,1,1,1,1,0,0,0
2980,58,1,2,1,40.4321796,-3.6845458,1,0,0,0,0,0,1,0,0,0
2980,58,1,2,1,40.432218,-3.6857688,1,0,0,0,0,0,1,0,0,0
3000,108,1,2,6,40.4134923,-3.7165643,1,0,0,0,0,0,1,0,0,0
3000,108,1,2,6,40.4150978,-3.7162031,1,0,0,0,0,0,1,0,1,0
3000,112,1,2,2,40.427541,-3.6998108,1,0,0,0,0,0,1,0,0,0
3000,80,1,2,8,40.4097515,-3.7064278,1,0,0,1,0,0,1,0,0,0
3000,120,1,2,4,40.4588542,-3.6947348,1,0,1,0,0,0,1,0,0,0
3100,91,1,2,3,40.4144115,-3.6927348,1,0,0,0,0,0,1,0,0,0
3100,85,1,2,1,40.4062857,-3.8008773,1,0,1,0,1,1,0,1,1,0
3200,80,1,2,1,40.4255854,-3.7040051,1,0,0,0,0,0,1,1,0,0
3265,75,1,2,2,40.4283616,-3.6852568,1,0,0,1,0,0,1,0,0,0
3300,119,1,2,4,40.4242288,-3.6965665,1,0,0,1,1,0,1,1,0,0
3300,119,1,2,4,40.4251947,-3.6958006,1,0,0,1,1,0,1,1,0,0
3300,94,1,2,1,40.4364103,-3.6909537,1,0,0,0,0,0,1,0,0,0
3400,119,1,2,4,40.4223296,-3.697041,1,0,0,1,0,0,1,0,0,0
3400,210,1,2,3,40.4135406,-3.7083816,1,0,0,0,1,1,1,0,0,0
3450,100,1,2,0,40.4253066,-3.6783021,1,0,0,1,0,0,1,0,0,0
3450,96,1,2,6,40.4244385,-3.6855845,1,0,0,0,0,0,1,0,0,0
3495,71,1,2,1,40.4251106,-3.6968,1,0,0,0,0,0,1,0,0,0
3500,100,1,2,4,40.4300118,-3.6858546,1,0,0,0,0,0,1,0,0,0
3500,94,1,2,5,40.4364103,-3.6909537,1,0,0,0,1,0,1,0,0,0
3500,175,1,2,4,40.417402,-3.7052965,1,0,0,0,0,0,1,0,0,0
3500,102,1,2,4,40.4318831,-3.684744,1,0,0,0,0,0,1,0,0,0
3550,90,1,2,5,40.4263284,-3.7205524,1,0,0,1,0,0,1,0,0,0
3800,100,1,2,4,40.4328077,-3.6862811,1,0,0,0,0,0,1,0,0,0
3885,115,1,2,5,40.4268731,-3.7049682,1,0,0,1,0,0,1,0,0,0
4500,130,1,2,2,40.4244619,-3.6852629,1,0,0,0,0,0,0,0,0,0
2000,60,2,1,0,40.419213,-3.678917,1,0,0,1,0,0,1,0,0,0
1000,60,2,1,0,40.5448691,-3.4573445,0,0,0,0,0,0,1,0,0,0
1850,110,2,1,4,40.4247409,-3.7156022,0,0,0,0,1,0,1,1,0,0
965,70,2,1,0,40.3103373,-3.8577435,1,0,0,0,1,1,0,1,0,0
975,50,2,1,0,40.3788051,-3.6190174,0,0,0,0,1,1,1,0,0,0
1800,70,2,1,0,40.4071446,-3.7048624,1,0,0,0,0,0,0,0,0,0
1100,60,2,1,0,40.4586586,-3.7036125,0,0,0,0,0,0,0,0,0,0
2100,110,2,1,8,40.3876036,-3.6894404,1,0,1,1,1,1,1,0,1,0
1500,52,2,1,0,40.4348152,-3.6770825,1,0,0,0,0,0,0,0,0,0
1075,87,2,1,0,40.3421207,-3.6764708,1,0,1,0,1,1,0,0,1,0
1300,45,2,1,0,40.4066184,-3.686769,1,0,0,0,0,0,0,0,0,0
1650,55,2,1,0,40.4316462,-3.7093821,1,0,0,0,0,0,0,0,0,0
1750,75,2,1,5,40.415629,-3.7054546,1,0,0,1,0,0,1,0,0,0
1750,78,2,1,4,40.4263922,-3.7028469,0,0,0,0,0,0,1,1,0,0
1500,65,2,1,0,40.4077833,-3.708331,0,0,0,0,0,0,1,0,0,0
2700,92,2,1,5,40.4294365,-3.7066369,1,0,0,1,0,0,1,0,0,0
1300,45,2,1,0,40.4234714,-3.6652058,0,0,0,0,0,0,0,0,0,0
1150,75,2,1,0,40.4386113,-3.7041423,0,0,0,0,0,0,0,0,0,0
1395,65,2,1,6,40.4486441,-3.7019517,1,0,0,0,0,0,0,0,0,0
1600,55,2,1,0,40.457803,-3.6761925,1,0,0,1,0,0,1,0,0,0
1900,81,2,1,3,40.4247492,-3.7014358,0,0,0,0,0,0,1,1,0,0
1550,82,2,1,4,40.4116632,-3.703043,1,0,0,0,0,0,1,0,0,0
990,75,2,1,2,40.315424,-3.4813781,0,0,0,0,0,0,0,0,0,0
1400,52,2,1,0,40.4112922,-3.6976545,0,0,0,0,0,0,1,0,0,0
1050,60,2,1,0,40.4314864,-3.6993699,0,0,0,0,0,0,0,0,0,0
2700,105,2,1,0,40.4705752,-3.6874095,1,0,0,0,1,1,1,1,1,0
1150,40,2,1,5,40.4034026,-3.7478926,0,0,0,0,0,0,1,0,0,0
1500,75,2,1,0,40.4396096,-3.6676323,1,0,0,0,0,0,1,0,0,0
1750,50,2,1,6,40.4365917,-3.7068313,1,0,0,0,0,0,1,0,0,0
2300,98,2,1,5,40.4196805,-3.6980633,1,0,0,0,0,0,1,0,0,0
1050,73,2,1,1,40.2856032,-4.0166789,0,0,0,1,0,0,1,1,0,0
1995,80,2,1,5,40.4855494,-3.6518347,1,0,1,1,1,1,1,1,1,0
1350,71,2,1,0,40.4048203,-3.7141206,0,0,0,0,0,0,0,0,0,0
1975,60,2,1,6,40.4855494,-3.6518347,1,0,1,1,1,1,1,1,1,0
2600,129,2,1,7,40.4681826,-3.6845354,1,0,0,1,1,1,1,0,0,0
1450,54,2,1,0,40.4091981,-3.7050093,1,0,0,0,0,0,1,0,0,0
1350,60,2,1,4,40.391351,-3.6972493,1,0,0,1,0,0,1,0,0,0
1400,55,2,1,5,40.411138,-3.7096568,0,0,0,0,0,0,1,0,0,0
2995,67,2,1,0,40.4137112,-3.7008144,1,0,0,0,0,0,0,0,0,0
850,44,2,1,0,40.3957059,-3.726161,0,0,0,0,0,0,0,0,0,0
1300,126,2,1,0,40.2740549,-3.9229459,1,0,1,1,1,1,1,1,0,0
3000,120,2,1,0,40.4229572,-3.6739428,1,0,0,0,0,0,1,0,0,0
1000,60,2,1,4,40.4381926,-3.6451166,0,0,0,1,0,0,1,0,0,0
990,60,2,1,0,40.4715167,-3.7090904,0,0,0,0,0,0,0,0,0,0
1690,80,2,1,0,40.4481135,-3.6875062,1,0,0,1,0,0,0,0,1,0
1690,68,2,1,0,40.4267065,-3.7153586,0,0,0,0,0,0,0,0,0,0
1230,56,2,1,0,40.4367558,-3.711926,1,0,0,0,0,0,0,0,0,0
1100,60,2,1,0,40.3287379,-3.7660956,0,0,0,0,0,0,1,1,0,0
1600,100,2,1,6,40.410892,-3.7214803,1,0,0,1,0,0,1,0,0,0
900,73,2,1,3,40.030798,-3.5957846,1,0,0,1,1,1,1,1,0,0
1100,65,2,1,0,40.4070334,-3.6975686,1,0,0,0,0,0,1,0,0,0
1065,60,2,1,0,40.4704073,-3.6369786,1,0,0,1,0,0,0,0,1,0
1500,96,2,1,0,40.4906594,-3.9586462,1,0,1,1,1,1,0,1,0,0
1500,75,2,1,0,40.4365828,-3.7042217,0,0,0,0,0,0,0,0,0,0
1100,65,2,1,3,40.4330503,-3.6426389,0,0,0,0,0,0,1,1,0,0
1200,62,2,1,4,40.4322966,-3.641751,0,0,0,1,0,0,1,0,0,0
975,58,2,1,0,40.4933967,-3.3644115,1,0,0,1,1,1,0,0,1,0
1150,45,2,1,0,40.3936281,-3.6668646,0,0,0,0,0,0,0,1,0,0
2600,129,2,1,7,40.4681826,-3.6845354,1,0,0,1,1,0,1,0,0,0
1450,60,2,1,6,40.4525365,-3.7112343,1,0,0,1,0,0,1,0,0,0
1290,84,2,1,5,40.4265022,-3.6016718,1,0,1,1,1,1,1,1,1,0
1452,68,2,1,0,40.4104166,-3.6549438,0,0,0,0,0,0,1,0,0,0
2000,100,2,1,3,40.4645367,-3.694361,1,0,0,1,1,1,1,0,1,0
1200,66,2,1,4,40.4757465,-3.7081801,1,0,0,0,0,0,1,1,0,0
1200,50,2,1,0,40.3923989,-3.6957701,1,0,0,1,0,0,0,1,0,0
1590,65,2,1,0,40.4629857,-3.669116,1,0,0,0,0,0,0,0,0,0
1150,40,2,1,4,40.4107533,-3.6968782,1,0,0,0,0,0,1,0,0,0
1200,70,2,1,0,40.282907,-3.7918466,1,0,0,1,0,0,0,0,0,0
2800,40,2,1,0,40.4274456,-3.7002951,1,0,0,0,0,0,1,0,0,0
1600,60,2,1,0,40.4353337,-3.6830365,1,0,0,0,0,0,0,0,0,0
2700,66,2,1,6,40.4309838,-3.675848,1,0,0,1,0,0,1,0,0,0
1550,68,2,1,0,40.4267626,-3.6738292,0,0,0,0,0,0,0,0,0,0
3900,54,2,1,4,40.4230488,-3.6908156,1,0,0,1,0,0,1,0,0,0
1075,54,2,1,0,40.4782286,-3.7067077,1,0,0,0,0,0,0,1,0,0
1350,60,2,1,0,40.5497989,-3.6368079,1,0,1,0,0,0,1,0,0,0
682,50,2,1,0,40.3536508,-3.7019708,1,1,0,0,1,1,0,1,0,0
